encounter_method_id,local_language_id,name
1,6,Im hohen Gras oder in einer Höhle laufen
1,9,Walking in tall grass or a cave
1,11,洞窟か草むらを歩く
2,6,Mit einer normalen Angel angeln
2,9,Fishing with an Old Rod
2,11,ボロのつりざおで釣りをする
3,6,Mit einer Profiangel angeln
3,9,Fishing with a Good Rod
3,11,いいつりざおで釣りをする
4,6,Mit einer Superangel angeln
4,9,Fishing with a Super Rod
4,11,すごいつりざおで釣りをする
5,6,Surfen
5,9,Surfing
5,11,なみのり
6,6,Steine zertrümmern
6,9,Smashing rocks
6,11,いわくだき
7,6,Bäumen Kopfnüsse geben
7,9,Headbutting trees
7,11,木にずつき
8,6,Im dunklen Gras laufen
8,9,Walking in dark grass
8,11,色の濃い草むらを歩く
9,6,Im raschelndem Gras laufen
9,9,Walking in rustling grass
9,11,揺れる草むらを歩く
10,6,In Staubwolken laufen
10,9,Walking in dust clouds
10,11,砂煙を歩く
11,6,Im Schatten einer Brücke laufen
11,9,Walking in bridge shadows
11,11,橋の影を歩く
12,6,An dunklen stellen angeln
12,9,Fishing in dark spots
12,11,色の濃い釣りポイントで釣りをする
13,6,An dunklen stellen surfen
13,9,Surfing in dark spots
13,11,色の濃い所でなみのりをする
14,6,In gelben Blumenfeldern laufen
14,9,Walking in yellow flowers
14,11,黄色い花々を歩く
15,6,In violetten Blumenfeldern laufen
15,9,Walking in purple flowers
15,11,紫色の花々を歩く
16,6,In roten Blumenfeldern laufen
16,9,Walking in red flowers
16,11,赤い花々を歩く
17,6,Auf unwegsamen Gelände laufen
17,9,Walking on rough terrain
17,11,でこぼこの地形を歩く
